Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%),Month
SURVEY,2021,JAN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,19330000000.00,,1
SURVEY,2021,FEB,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17666000000.00,,2
SURVEY,2021,MAR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,19780000000.00,,3
SURVEY,2021,APR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,19332000000.00,,4
SURVEY,2021,MAY,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,19855000000.00,,5
SURVEY,2021,JUN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18954000000.00,,6
SURVEY,2021,JUL,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,19103000000.00,,7
SURVEY,2021,AUG,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18739000000.00,,8
SURVEY,2021,SEP,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18038000000.00,,9
SURVEY,2021,OCT,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18515000000.00,,10
SURVEY,2020,JAN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18877000000.00,,1
SURVEY,2020,FEB,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17895000000.00,,2
SURVEY,2020,MAR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,19402000000.00,,3
SURVEY,2020,APR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18684000000.00,,4
SURVEY,2020,MAY,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18972000000.00,,5
SURVEY,2020,JUN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18414000000.00,,6
SURVEY,2020,JUL,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18756000000.00,,7
SURVEY,2020,AUG,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18632000000.00,,8
SURVEY,2020,SEP,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18031000000.00,,9
SURVEY,2020,OCT,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18603000000.00,,10
SURVEY,2020,NOV,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18103000000.00,,11
SURVEY,2020,DEC,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18851000000.00,,12
SURVEY,2019,JAN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18612000000.00,,1
SURVEY,2019,FEB,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16966000000.00,,2
SURVEY,2019,MAR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18847000000.00,,3
SURVEY,2019,APR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18435000000.00,,4
SURVEY,2019,MAY,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,19062000000.00,,5
SURVEY,2019,JUN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18228000000.00,,6
SURVEY,2019,JUL,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18379000000.00,,7
SURVEY,2019,AUG,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18275000000.00,,8
SURVEY,2019,SEP,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17600000000.00,,9
SURVEY,2019,OCT,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18138000000.00,,10
SURVEY,2019,NOV,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17499000000.00,,11
SURVEY,2019,DEC,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18400000000.00,,12
SURVEY,2018,JAN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18431000000.00,,1
SURVEY,2018,FEB,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16976000000.00,,2
SURVEY,2018,MAR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18988000000.00,,3
SURVEY,2018,APR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18425000000.00,,4
SURVEY,2018,MAY,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,19122000000.00,,5
SURVEY,2018,JUN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18280000000.00,,6
SURVEY,2018,JUL,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18331000000.00,,7
SURVEY,2018,AUG,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18247000000.00,,8
SURVEY,2018,SEP,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17396000000.00,,9
SURVEY,2018,OCT,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17872000000.00,,10
SURVEY,2018,NOV,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17330000000.00,,11
SURVEY,2018,DEC,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18170000000.00,,12
SURVEY,2017,JAN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18140000000.00,,1
SURVEY,2017,FEB,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16698000000.00,,2
SURVEY,2017,MAR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18758000000.00,,3
SURVEY,2017,APR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18357000000.00,,4
SURVEY,2017,MAY,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18958000000.00,,5
SURVEY,2017,JUN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18073000000.00,,6
SURVEY,2017,JUL,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18270000000.00,,7
SURVEY,2017,AUG,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18037000000.00,,8
SURVEY,2017,SEP,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17131000000.00,,9
SURVEY,2017,OCT,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17765000000.00,,10
SURVEY,2017,NOV,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17265000000.00,,11
SURVEY,2017,DEC,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18075000000.00,,12
SURVEY,2016,JAN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17671000000.00,,1
SURVEY,2016,FEB,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16900000000.00,,2
SURVEY,2016,MAR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18404000000.00,,3
SURVEY,2016,APR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17956000000.00,,4
SURVEY,2016,MAY,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18614000000.00,,5
SURVEY,2016,JUN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17774000000.00,,6
SURVEY,2016,JUL,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17903000000.00,,7
SURVEY,2016,AUG,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17693000000.00,,8
SURVEY,2016,SEP,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16985000000.00,,9
SURVEY,2016,OCT,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17554000000.00,,10
SURVEY,2016,NOV,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17139000000.00,,11
SURVEY,2016,DEC,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17858000000.00,,12
SURVEY,2015,JAN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17682000000.00,,1
SURVEY,2015,FEB,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16169000000.00,,2
SURVEY,2015,MAR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18077000000.00,,3
SURVEY,2015,APR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17795000000.00,,4
SURVEY,2015,MAY,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18434000000.00,,5
SURVEY,2015,JUN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17510000000.00,,6
SURVEY,2015,JUL,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17659000000.00,,7
SURVEY,2015,AUG,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17391000000.00,,8
SURVEY,2015,SEP,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16595000000.00,,9
SURVEY,2015,OCT,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17106000000.00,,10
SURVEY,2015,NOV,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16667000000.00,,11
SURVEY,2015,DEC,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17423000000.00,,12
SURVEY,2014,JAN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17276000000.00,,1
SURVEY,2014,FEB,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,15897000000.00,,2
SURVEY,2014,MAR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17832000000.00,,3
SURVEY,2014,APR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17484000000.00,,4
SURVEY,2014,MAY,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,18104000000.00,,5
SURVEY,2014,JUN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17329000000.00,,6
SURVEY,2014,JUL,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17434000000.00,,7
SURVEY,2014,AUG,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17223000000.00,,8
SURVEY,2014,SEP,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16511000000.00,,9
SURVEY,2014,OCT,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17066000000.00,,10
SURVEY,2014,NOV,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16555000000.00,,11
SURVEY,2014,DEC,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17337000000.00,,12
SURVEY,2013,JAN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17119000000.00,,1
SURVEY,2013,FEB,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,15762000000.00,,2
SURVEY,2013,MAR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17681000000.00,,3
SURVEY,2013,APR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17260000000.00,,4
SURVEY,2013,MAY,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17829000000.00,,5
SURVEY,2013,JUN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16948000000.00,,6
SURVEY,2013,JUL,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16794000000.00,,7
SURVEY,2013,AUG,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16796000000.00,,8
SURVEY,2013,SEP,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,15839000000.00,,9
SURVEY,2013,OCT,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16462000000.00,,10
SURVEY,2013,NOV,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,15998000000.00,,11
SURVEY,2013,DEC,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16772000000.00,,12
SURVEY,2012,JAN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17048000000.00,,1
SURVEY,2012,FEB,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16342000000.00,,2
SURVEY,2012,MAR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17746000000.00,,3
SURVEY,2012,APR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17257000000.00,,4
SURVEY,2012,MAY,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17631000000.00,,5
SURVEY,2012,JUN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16712000000.00,,6
SURVEY,2012,JUL,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16610000000.00,,7
SURVEY,2012,AUG,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16431000000.00,,8
SURVEY,2012,SEP,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,15713000000.00,,9
SURVEY,2012,OCT,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16277000000.00,,10
SURVEY,2012,NOV,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16015000000.00,,11
SURVEY,2012,DEC,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16860000000.00,,12
SURVEY,2011,JAN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16396000000.00,,1
SURVEY,2011,FEB,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,15075000000.00,,2
SURVEY,2011,MAR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16990000000.00,,3
SURVEY,2011,APR,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16657000000.00,,4
SURVEY,2011,MAY,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,17279000000.00,,5
SURVEY,2011,JUN,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16514000000.00,,6
SURVEY,2011,JUL,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16478000000.00,,7
SURVEY,2011,AUG,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16425000000.00,,8
SURVEY,2011,SEP,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,15780000000.00,,9
SURVEY,2011,OCT,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16272000000.00,,10
SURVEY,2011,NOV,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,15820000000.00,,11
SURVEY,2011,DEC,,NATIONAL,US TOTAL,,,,,,,,0,,MILK,"MILK - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,16569000000.00,,12
